Id,SepalLengthCm,ScaledSepalLengthCm,SepalWidthCm,ScaledSepalWidthCm,PetalLengthCm,ScaledPetalLengthCm,PetalWidthCm,Species
1,5.1,0.64556962,3.5,0.795454545,1.4,0.202898551,0.2,Iris-setosa
2,4.9,0.620253165,3,0.681818182,1.4,0.202898551,0.2,Iris-setosa
3,4.7,0.594936709,3.2,0.727272727,1.3,0.188405797,0.2,Iris-setosa
4,4.6,0.582278481,3.1,0.704545455,1.5,0.217391304,0.2,Iris-setosa
5,5,0.632911392,3.6,0.818181818,1.4,0.202898551,0.2,Iris-setosa
6,5.4,0.683544304,3.9,0.886363636,1.7,0.246376812,0.4,Iris-setosa
7,4.6,0.582278481,3.4,0.772727273,1.4,0.202898551,0.3,Iris-setosa
8,5,0.632911392,3.4,0.772727273,1.5,0.217391304,0.2,Iris-setosa
9,4.4,0.556962025,2.9,0.659090909,1.4,0.202898551,0.2,Iris-setosa
10,4.9,0.620253165,3.1,0.704545455,1.5,0.217391304,0.1,Iris-setosa
11,5.4,0.683544304,3.7,0.840909091,1.5,0.217391304,0.2,Iris-setosa
12,4.8,0.607594937,3.4,0.772727273,1.6,0.231884058,0.2,Iris-setosa
13,4.8,0.607594937,3,0.681818182,1.4,0.202898551,0.1,Iris-setosa
14,4.3,0.544303797,3,0.681818182,1.1,0.15942029,0.1,Iris-setosa
15,5.8,0.734177215,4,0.909090909,1.2,0.173913043,0.2,Iris-setosa
16,5.7,0.721518987,4.4,1,1.5,0.217391304,0.4,Iris-setosa
17,5.4,0.683544304,3.9,0.886363636,1.3,0.188405797,0.4,Iris-setosa
18,5.1,0.64556962,3.5,0.795454545,1.4,0.202898551,0.3,Iris-setosa
19,5.7,0.721518987,3.8,0.863636364,1.7,0.246376812,0.3,Iris-setosa
20,5.1,0.64556962,3.8,0.863636364,1.5,0.217391304,0.3,Iris-setosa
21,5.4,0.683544304,3.4,0.772727273,1.7,0.246376812,0.2,Iris-setosa
22,5.1,0.64556962,3.7,0.840909091,1.5,0.217391304,0.4,Iris-setosa
23,4.6,0.582278481,3.6,0.818181818,1,0.144927536,0.2,Iris-setosa
24,5.1,0.64556962,3.3,0.75,1.7,0.246376812,0.5,Iris-setosa
25,4.8,0.607594937,3.4,0.772727273,1.9,0.275362319,0.2,Iris-setosa
26,5,0.632911392,3,0.681818182,1.6,0.231884058,0.2,Iris-setosa
27,5,0.632911392,3.4,0.772727273,1.6,0.231884058,0.4,Iris-setosa
28,5.2,0.658227848,3.5,0.795454545,1.5,0.217391304,0.2,Iris-setosa
